name,area,ppm,population,population_change,forestry_percentage,forestry_change,electricity,electricity_change,transportation,transportation_change,building,building_change,manufacturing,manufacturing_change,industry,industry_change,agriculture,agriculture_change,CO2population,electricity_value,transportation_value,building_value,manufacturing_value,industry_value,agriculture_value
Lithuania,65300,0.009657305,2759230,-0.55,34.83,0.3,18.64,-7,32.76,4,5.88,-2.5,6.47,-2.5,7.95,3,28.3,1,72429787.5,13500912.39,23727998.39,4258871.505,4686207.251,5758168.106,20497629.86
Luxembourg,2586,0.002189842,625669,1.27,35.68,0.5,3.13,-10.5,58.45,-2.2,16.7,-0.1,10.42,1.5,4.5,-1.1,6.8,0.5,16423811.25,514065.2921,9599717.676,2742776.479,1711361.132,739071.5063,1116819.165
Malta,316,0.001742034,497724,0.31,1.09,-1.2,37.36,-10,37.36,-0.1,6.06,0,0.72,0,13.6,5,4.9,-0.5,13065255,4881179.268,4881179.268,791754.453,94069.836,1776874.68,640197.495
Netherlands,33690,0.060699482,17342709,0.29,11.18,0.35,40.6,-0.1,17.1,-1.8,14.3,-4,13.7,0.7,3.1,-1.5,11.2,1.6,455246111.3,184829921.2,77847085.02,65100193.91,62368717.24,14112629.45,50987564.46
Poland,306190,0.132888854,37968244,-0.17,30.88,0.29,48.78,-0.9,16.91,2,13.21,-2.3,8.4,-0.5,4.2,2.3,8.5,-0.001,996666405,486173872.4,168536289.1,131659632.1,83719978.02,41859989.01,84716644.43
Portugal,91568,0.035916535,10261867,-0.39,34.61,-0.38,38.54,3.8,28.3,-2.3,4.6,-4.8,9.76,-3.2,8.2,-1.1,10.6,1.3,269374008.8,103816743,76232844.48,12391204.4,26290903.25,22088668.72,28553644.93
Romania,238397,0.067488708,19282488,-0.5,30.12,0.87,35.06,-3.9,19.34,3.5,10.55,0.3,13.65,-1.2,6.2,1.3,15.2,-1,506165310,177461557.7,97892370.95,53400440.21,69091564.82,31382249.22,76937127.12
Slovakia,49036,0.019095468,5455848,0.04,40.35,0.04,34.18,-2.2,19.37,-0.8,12.96,-6,20.79,1.2,5.9,-1.5,6.8,1.5,143216010,48951232.22,27740941.14,18560794.9,29774608.48,8449744.59,9738688.68
Slovenia,20273,0.007292866,2083676,0.07,61.97,0.04,34.43,-3.2,37.92,1.3,3.19,-6.2,10.26,-2.4,3.7,2.7,10.5,-0.8,54696495,18832003.23,20740910.9,1744818.191,5611860.387,2023770.315,5743131.975
Spain,499564,0.164692234,47054924,0.03,36.94,0.67,29.45,-0.3,31.47,-1.3,9.24,0.1,10.64,-6.1,6.4,-3.9,12.8,0.4,1235191755,363763971.8,388714845.3,114131718.2,131424402.7,79052272.32,158104544.6
Sweden,407310,0.036219572,10348449,0.72,68.92,0.02,20.75,-3.8,41.92,-1.3,2.93,-8,14.4,-3.2,5.4,-1.3,14.6,-0.1,271646786.3,56366708.15,113874332.8,7959250.837,39117137.22,14668926.46,39660430.79
United Kingdom,241930,0.23480372,67086777,0.58,13.07,0.45,29.26,-6.2,28,0.1,19.14,-2.4,8.1,-3.2,4.7,-1.3,10.8,0.3,1761027896,515276762.4,493087811,337060739.3,142643259.6,82768311.12,190191012.8
